Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
amplitude,353.2833991830812,0,convective,251.35692842359026,1
divergence,348.52501130768246,0,convection,251.2671346998518,1
client,345.35133760005016,0,cyclone,246.718045362599,1
deglaciation,341.9777074450433,1,greenland,245.78627884634454,1
incision,338.9857210740829,0,cmip,244.55842273901777,1
career,335.46261609382594,0,pliocene,241.63547520710762,1
water temperature,333.9414112655571,1,mis,240.0366042630847,0
methanotroph,332.9209090721353,1,glaciation,239.44374568192188,1
foraminiferal,332.6729174670686,0,downscaled,237.77685202786586,0
plasticity,329.1649722895211,0,diabetes,235.6665204506324,0
carbon isotope,322.4475559800982,1,tectonic,235.6156341855426,0
entrepreneurship,321.86269231106263,0,dic,234.52160096605763,0
snowfall,321.33987923395983,1,therapy,234.05373756306966,0
insolation,320.6262563421476,1,nee,232.5388332295142,0
atm,318.1924406070998,0,health care,230.81081670751723,0
aeolian,316.4816670508145,0,vaccine,228.604422641962,0
crater,312.6873393888881,0,hemispheric,226.0537875529291,0
lacustrine,309.8993393683966,1,calcite,224.97228781180814,0
stalagmite,307.1116296022666,0,rcp,223.94295612637939,1
orbital,301.56538072572744,0,subtropical,220.8168218920341,1
monsoonal,299.28307403100655,1,climate variability,217.87232575121482,1
thermocline,299.2786309659845,1,observing,214.75811548738346,0
empowerment,294.66233232788414,0,elevational,212.1196779906321,0
infer,287.5664188903704,0,cave,211.45084065660137,0
workforce,285.4642583742978,0,meridional,211.39556700867527,1
caregiver,284.8182773402663,0,bloom,207.78963471552493,0
altitudinal,283.61015334140586,1,northward,207.24234460349186,0
telemedicine,283.5484650296112,0,emergy,206.64011727100416,1
typhoon,282.1730934135967,1,foraminifer,206.25642602715376,0
hemispheric,280.7960037917919,0,carbon isotope,204.78848897439238,1
immunization,280.7297152696388,0,monsoonal,202.47912850399155,1
speleothem,280.7285507221003,1,conclusions,198.37445049821537,0
